Index,Name,Form,Pokemon Number,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Original Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Prod (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Prod (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Prod (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use
11,Grubbin,,736,♂,518,83,12,9,7,62.2,20.0,20.0,,,,"2026-08-08 21:04","2026-08-08 21:04",8/8/2026,,,0,0,0,2500,27.69%,2962,94.04%,145000,165,Charjabug,,0,6.69%,3822,93.81%,65000,183,Vikavolt,,0,,,,,,,,,
12,Meowth,Alola,52,♀,332,69,13,13,15,91.1,15.0,15.0,Scratch,Foul Play,,"2026-08-08 21:04","2026-08-08 21:04",8/8/2026,4.89kg,0.41m,0,0,0,1900,53.65%,1899,95.07%,96400,136,Persian,Alola,0,99.37%,27,97.53%,496400,318,Persian,Alola,0,64.20%,1467,93.15%,35400,33,Meowth,Alola,0,
13,Meowth,Alola,52,♀,322,69,1,1,1,6.7,18.5,18.5,,,,"2026-08-08 21:04","2026-08-08 21:04",,,,0,0,0,1900,60.61%,1614,95.42%,242200,304,Persian,Alola,0,0.37%,4081,76.67%,482200,304,Persian,Alola,0,56.48%,1783,92.54%,67700,60,Meowth,Alola,0,
14,Metagross,Normal,376,,1590,106,12,10,15,82.2,15.0,15.0,Zen Headbutt,Psychic,,"2026-08-08 21:04","2026-08-08 21:04",8/8/2026,298.7kg,1.22m,0,0,0,1900,,,,,,,,,78.05%,900,96.86%,41900,39,Metagross,Normal,0,,,,,,,,,
15,Silcoon,,266,♂,219,77,10,15,12,82.2,15.0,15.0,Poison Sting,Struggle,,"2026-08-08 21:04","2026-08-08 21:03",8/8/2026,3.33kg,1311m,0,0,0,1900,87.62%,508,97.23%,112400,150,Beautifly,,0,97.88%,88,96.18%,496400,318,Beautifly,,0,79.29%,849,92.24%,217400,226,Silcoon,,0,
16,Silcoon,,266,♂,219,77,,,,73.9,15.0,15.0,Poison Sting,Struggle,,"2026-08-08 21:04","2026-08-08 21:03",,0.49kg,0.3m,0,0,0,1900,40.18%,508,97.23%,130400,168,Beautifly,,0,83.05%,88,96.18%,496400,318,Beautifly,,0,39.29%,849,92.24%,217400,226,Silcoon,,0,
17,Tandemaus,,924,,367,77,14,10,13,82.2,15.0,15.0,Take Down,Play Rough,,"2026-08-08 21:03","2026-08-08 21:03",8/8/2026,2.59kg,0.36m,0,0,0,1900,45.64%,2227,94.66%,68400,112,Maushold,Three,0,96.51%,144,95.35%,496400,318,Maushold,Three,0,13.36%,3549,89.39%,21400,20,Tandemaus,,0,
18,Litleo,,667,♀,914,108,15,12,11,84.4,23.0,23.0,Fire Fang,Crunch,,"2026-08-08 21:03","2026-08-08 21:03",8/8/2026,11.18kg,0.51m,0,0,0,3500,81.59%,755,95.37%,346000,232,Litleo,,0,26.59%,3007,95.08%,106000,148,Pyroar,,0,,,,,,,,,
19,Litleo,,667,♀,883,108,2,2,2,13.3,26.0,26.0,Fire Fang,Crunch,,"2026-08-08 21:03","2026-08-08 21:03",,,,0,0,0,3500,1.86%,4020,81.79%,436000,214,Litleo,,0,42.61%,2351,95.70%,228000,264,Pyroar,,0,,,,,,,,,
20,Skiddo,,672,♂,588,101,7,9,14,66.7,18.0,18.0,Rock Smash,Seed Bomb,,"2026-08-08 21:03","2026-08-08 21:02",8/8/2026,3.33kg,71.12m,0,0,0,2200,40.17%,2451,94.51%,6900,56,Gogoat,,0,69.21%,1262,96.75%,162400,208,Gogoat,,0,,,,,,,,,
21,Skiddo,,672,♂,607,101,1,1,1,6.7,21.0,21.0,,,,"2026-08-08 21:03","2026-08-08 21:03",,,,0,0,0,2200,70.01%,1229,95.90%,3000,53,Gogoat,,0,49.04%,2088,95.94%,262000,294,Gogoat,,0,,,,,,,,,
22,Skiddo,,672,♂,588,101,,,,63.0,18.0,18.0,Rock Smash,Seed Bomb,,"2026-08-08 21:03","2026-08-08 21:02",,52.18kg,1.12m,0,0,0,2200,18.31%,2451,94.51%,6900,56,Gogoat,,0,44.49%,1262,96.75%,170400,218,Gogoat,,0,,,,,,,,,
23,Cherubi,,420,♀,409,73,14,0,5,42.2,17.0,17.0,Bullet Seed,Seed Bomb,,"2026-08-08 21:02","2026-08-08 21:02",8/8/2026,3.94kg,0.45m,0,0,0,2200,1.32%,4042,91.30%,65300,108,Cherrim,,0,29.28%,2897,85.39%,488800,310,Cherrim,,0,1.66%,4028,87.19%,16300,14,Cherubi,,0,
24,Ekans,,23,♂,213,47,9,9,8,57.8,9.0,9.0,Poison Sting,Sludge Bomb,,"2026-08-08 21:02","2026-08-08 21:02",8/8/2026,3.33kg,72.13m,0,0,0,1000,31.31%,2814,94.17%,102000,148,Arbok,,0,64.05%,1473,89.31%,512000,338,Arbok,,0,64.15%,1469,93.14%,42000,44,Ekans,,0,
25,Ekans,,23,♂,213,47,,,,56.5,9.0,9.0,Poison Sting,Sludge Bomb,,"2026-08-08 21:02","2026-08-08 21:02",,5.93kg,2.13m,0,0,0,1000,24.22%,1367,95.99%,102000,148,Arbok,,0,61.94%,899,91.16%,512000,338,Arbok,,0,31.32%,1489,93.15%,1000,51,Arbok,,0,
26,Growlithe,Normal,58,♂,947,108,15,15,11,91.1,27.0,27.0,Bite,Body Slam,,"2026-08-08 21:02","2026-08-08 21:02",,18.81kg,0.73m,0,0,0,4500,99.37%,27,97.04%,428000,206,Growlithe,Normal,0,39.66%,2472,95.64%,18000,66,Arcanine,Normal,0,,,,,,,,,
27,Swinub,,220,♂,153,55,0,12,3,33.3,9.0,9.0,Powder Snow,Rock Slide,,"2026-08-08 21:01","2026-08-08 21:01",8/8/2026,2.34kg,0.25m,0,0,0,1000,96.65%,138,98.10%,68000,93,Piloswine,,0,77.83%,909,96.56%,97500,219,Mamoswine,,0,91.14%,364,95.93%,102000,98,Swinub,,0,
28,Durant,,632,♂,1661,102,6,6,5,37.8,24.0,24.0,Bug Bite,Iron Head,,"2026-08-08 21:01","2026-08-08 21:01",8/8/2026,24.23kg,0.25m,0,0,0,3500,,,,,,,,,60.00%,1639,96.19%,254000,226,Durant,,0,,,,,,,,,
29,Giratina,Altered,487,,1831,173,10,9,6,55.6,20.0,20.0,Shadow Claw,Frustration,,"2026-08-08 21:01","2026-08-08 21:01",8/8/2026,935.69kg,4.83m,0,1,0,3000,,,,,,,,,31.23%,2817,94.75%,56404,56,Giratina,Altered,1,,,,,,,,,
30,Tyrunt,,696,♂,596,78,14,14,12,88.9,13.0,13.0,Tackle,Frustration,,"2026-08-07 06:15","2026-08-07 06:15",8/7/2026,29.96kg,0.84m,0,1,0,1600,78.63%,876,96.34%,16804,74,Tyrantrum,,1,72.58%,1124,96.98%,25500,70,Tyrantrum,,2,,,,,,,,,
31,Snorlax,,143,♀,2555,240,10,13,5,62.2,29.0,29.0,Lick,Hyper Beam,,"2026-08-07 04:35","2026-08-07 04:35",8/7/2026,,,0,0,0,5000,,,,,,,,,,,,,,,,,,,,,,,,,
32,Vanillite,,582,♂,758,85,8,2,4,31.1,30.0,30.0,Astonish,Icy Wind,,"2026-08-07 04:11","2026-08-07 04:11",8/7/2026,7.78kg,0.46m,0,0,0,5000,17.34%,3386,93.00%,262000,207,Vanillish,,0,20.15%,3271,94.90%,112000,253,Vanilluxe,,0,,,,,,,,,
33,Magikarp,,129,♂,41,35,2,13,9,53.3,8.0,8.0,Splash,Frustration,,"2026-08-07 04:11","2026-08-07 04:11",8/7/2026,11.55kg,1.02m,0,1,0,961,97.17%,117,97.93%,27490,445,Gyarados,Normal,1,92.45%,310,97.36%,108134,527,Gyarados,Normal,1,53.99%,1885,71.43%,400600,211,Magikarp,,2,
34,Ekans,,23,♀,128,39,2,4,11,37.8,6.0,6.0,Acid,Wrap,,"2026-08-07 04:11","2026-08-07 04:11",8/7/2026,10.22kg,2.36m,0,0,0,600,82.12%,733,96.89%,132400,176,Arbok,,0,26.64%,3005,84.94%,516400,344,Arbok,,0,91.50%,349,95.71%,55400,59,Ekans,,0,
35,Chimchar,,390,♀,513,83,11,11,12,75.6,20.0,20.0,Ember,Flame Charge,,"2026-08-07 04:10","2026-08-07 04:10",8/7/2026,7.04kg,0.56m,0,0,0,2500,63.93%,1478,95.48%,225000,273,Monferno,,0,65.37%,1419,96.48%,178000,307,Infernape,,0,,,,,,,,,
36,Swinub,,220,♂,420,93,8,11,12,68.9,22.0,22.0,Tackle,Body Slam,,"2026-08-07 04:10","2026-08-07 04:10",8/7/2026,3.75kg,0.34m,0,0,0,3000,76.04%,982,96.28%,9500,34,Piloswine,,0,94.31%,234,97.87%,449000,263,Piloswine,,0,68.35%,1297,93.42%,28000,24,Swinub,,0,
37,Swinub,,220,♂,425,93,6,6,6,40.0,24.0,24.0,,,,"2026-08-07 04:10","2026-08-07 04:10",8/7/2026,,,0,0,0,3000,57.92%,1724,95.36%,3500,28,Piloswine,,0,71.01%,1188,96.24%,36500,157,Mamoswine,,0,56.29%,1791,92.40%,32000,28,Swinub,,0,
38,Swinub,,220,♂,288,76,14,4,10,62.2,15.0,15.0,Powder Snow,Rock Slide,,"2026-08-07 04:10","2026-08-07 04:10",8/7/2026,333533.kg,70.42m,0,0,0,1900,45.89%,2217,94.86%,5700,131,Mamoswine,,0,62.00%,1557,95.27%,481400,293,Piloswine,,0,21.98%,3196,89.57%,60400,54,Swinub,,0,
39,Swinub,,220,♂,288,76,,,,66.2,15.0,15.0,Powder Snow,Rock Slide,,"2026-08-07 04:10","2026-08-07 04:10",,6.64kg,0.42m,0,0,0,1900,56.76%,262,97.70%,41900,64,Piloswine,,0,79.36%,122,98.37%,481400,293,Piloswine,,0,50.70%,321,96.13%,60400,54,Swinub,,0,
40,Porygon,,137,,345,64,4,7,8,42.2,8.0,8.0,Charge Beam,Frustration,,"2026-08-06 13:52","2026-08-06 13:52",,3.33kg,70.97m,0,0,0,800,78.29%,890,96.31%,43600,71,Porygon2,,0,87.55%,511,97.52%,103600,225,Porygon-Z,,0,28.52%,2928,91.64%,5600,6,Porygon,,0,
41,Porygon,,137,,345,64,,,,43.2,8.0,8.0,,,,"2026-08-06 13:52","2026-08-06 13:52",,49.98kg,0.97m,0,1,0,961,73.72%,95,98.20%,52330,97,Porygon2,,1,70.10%,105,98.73%,328338,403,Porygon2,,1,35.68%,1392,94.30%,6722,12,Porygon,,1,
42,Rookidee,,821,♀,186,58,10,5,15,66.7,11.0,11.0,Air Slash,Sky Attack,,"2026-08-06 13:52","2026-08-06 13:52",8/2/2026,,,0,0,0,1300,70.04%,1228,95.72%,47000,174,Corviknight,,0,62.49%,1537,95.91%,383000,409,Corviknight,,0,28.38%,2934,89.37%,98000,94,Rookidee,,0,
43,Drilbur,,529,♀,882,105,15,13,10,84.4,23.0,23.0,Scratch,Rock Tomb,,"2026-08-06 13:51","2026-08-06 13:51",8/2/2026,4.03kg,0.24m,0,0,0,15000,94.65%,220,96.85%,428000,232,Drilbur,,0,15.26%,3471,94.05%,30000,76,Excadrill,,0,,,,,,,,,
44,Eevee,,133,♀,282,62,11,13,3,60.0,10.0,10.0,Tackle,Dig,,"2026-08-06 13:51","2026-08-06 13:51",8/4/2026,8.52kg,0.34m,0,0,0,15000,74.04%,1064,95.83%,23400,53,Espeon,,0,47.62%,2146,95.90%,120000,137,Flareon,,0,37.00%,2581,91.62%,23400,28,Eevee,,0,
45,Ditto,,132,,191,58,1,8,4,28.9,10.0,10.0,,,,"2026-08-06 13:51","2026-08-06 13:51",8/4/2026,,,0,0,0,1000,12.04%,3603,74.58%,510000,286,Ditto,,0,12.04%,3603,74.58%,510000,286,Ditto,,0,92.58%,305,96.11%,74000,72,Ditto,,0,
46,Clamperl,,366,♂,530,63,14,13,12,86.7,15.0,15.0,Water Gun,Ice Beam,,"2026-08-06 13:50","2026-08-06 13:50",8/4/2026,,,0,0,0,15000,34.43%,2686,94.17%,35400,83,Huntail,,0,85.03%,614,96.40%,397400,318,Huntail,,0,,,,,,,,,
47,Pumpkaboo,Small,710,♀,500,69,15,14,8,82.2,15.0,15.0,Astonish,Foul Play,,"2026-08-06 13:50","2026-08-06 13:50",8/4/2026,4.21kg,0.33m,0,0,0,15000,10.33%,3673,92.35%,41900,239,Gourgeist,Small,0,95.14%,200,97.24%,496400,468,Gourgeist,Small,0,51.79%,1975,92.83%,0,0,Pumpkaboo,Small,0,
48,Litwick,,607,♀,359,72,11,15,13,86.7,13.0,13.0,Ember,Frustration,,"2026-08-06 13:50","2026-08-06 13:50",8/5/2026,3.48kg,0.31m,0,1,0,18000,74.16%,1059,96.59%,62400,83,Lampent,,2,66.23%,1384,96.10%,89768,223,Chandelure,,1,82.08%,735,94.71%,22084,30,Litwick,,1,
49,Vanillite,,582,♀,800,92,10,8,15,73.3,29.0,29.0,Astonish,Icy Wind,,"2026-08-06 13:50","2026-08-06 13:49",8/5/2026,9.39kg,0.64m,0,0,0,15000,66.06%,1391,95.56%,150000,200,Vanillish,,0,76.87%,948,97.14%,65000,189,Vanilluxe,,0,,,,,,,,,
50,Smoliv,,928,♀,351,67,13,14,10,82.2,15.0,15.0,Razor Leaf,Energy Ball,,"2026-08-06 13:49","2026-08-06 13:49",8/5/2026,9.91kg,0.37m,0,0,0,1900,78.58%,878,95.19%,384400,293,Dolliv,,0,67.57%,1329,96.73%,101400,215,Arboliva,,0,35.07%,2660,90.91%,26400,24,Smoliv,,0,
51,Smoliv,,928,♀,327,67,2,2,2,13.3,17.0,17.0,,,,"2026-08-06 13:49","2026-08-06 13:49",,,,0,0,0,1900,75.82%,991,95.67%,13800,137,Arboliva,,0,30.35%,2853,95.29%,174800,297,Arboliva,,0,65.13%,1429,93.14%,52800,46,Smoliv,,0,
52,Shellos,,422,♂,178,65,0,3,4,15.6,7.0,7.0,Hidden Power,Mud Bomb,,"2026-08-06 13:49","2026-08-06 13:48",8/5/2026,3.94kg,0.23m,0,0,0,800,78.12%,897,96.34%,79200,128,Gastrodon,,0,2.37%,3999,85.54%,515200,342,Gastrodon,,0,78.61%,877,95.00%,35200,40,Shellos,,0,
53,Dolliv,,929,♀,376,61,9,13,4,57.8,10.0,10.0,Razor Leaf,Trailblaze,,"2026-08-06 13:48","2026-08-06 13:48",8/5/2026,19.66kg,0.73m,0,0,0,1900,76.07%,981,94.98%,510000,286,Dolliv,,0,40.39%,2442,95.68%,138000,230,Arboliva,,0,31.23%,2817,91.23%,7200,10,Dolliv,,0,
54,Snover,,459,♂,486,86,14,13,13,88.9,15.0,15.0,Powder Snow,Ice Beam,,"2026-08-06 13:48","2026-08-05 03:06",8/5/2026,43.69kg,1.02m,0,0,0,1900,65.89%,1398,95.82%,35400,83,Abomasnow,Normal,0,73.33%,1093,96.09%,371400,318,Abomasnow,Normal,0,11.50%,3625,89.98%,0,0,Snover,,0,
55,Snorlax,,143,♀,682,128,10,3,12,55.6,8.0,8.0,Lick,Frustration,,"2026-08-06 13:48","2026-08-05 03:04",8/5/2026,810.13kg,2.89m,0,1,0,800,20.32%,3264,93.11%,29770,48,Snorlax,,1,18.73%,3329,94.29%,27500,27,Snorlax,,2,,,,,,,,,
56,Treecko,,252,,617,78,15,15,9,86.7,21.0,21.0,Bullet Seed,Grass Knot,,"2026-08-06 13:47","2026-08-06 13:47",,5.32kg,0.58m,0,0,0,3000,52.99%,1926,94.69%,118000,135,Grovyle,,0,56.41%,1786,96.31%,125000,243,Sceptile,Normal,0,,,,,,,,,
57,Meltan,,808,,241,52,8,11,1,44.4,9.0,9.0,Thunder Shock,Flash Cannon,,"2026-08-06 13:47","2026-08-06 13:47",8/5/2026,14.68kg,0.26m,0,0,0,1000,77.63%,917,96.23%,17500,422,Melmetal,,0,14.90%,3486,94.20%,72000,471,Melmetal,,0,66.59%,1369,93.10%,29800,34,Meltan,,0,
58,Patrat,,504,♀,398,79,14,14,13,91.1,18.0,18.0,Bite,Grass Knot,,"2026-08-06 13:47","2026-08-06 13:47",8/5/2026,,,0,0,0,2200,28.28%,2938,93.76%,74400,116,Watchog,,0,99.44%,24,98.10%,484400,306,Watchog,,0,58.80%,1688,92.42%,23400,21,Patrat,,0,
59,Meltan,,808,,559,84,11,14,15,88.9,19.0,19.0,Thunder Shock,Thunderbolt,,"2026-08-06 13:46","2026-08-06 13:46",8/5/2026,7.38kg,0.17m,0,0,0,2500,98.71%,54,96.14%,480000,252,Meltan,,0,61.17%,1591,96.17%,32500,429,Melmetal,,0,,,,,,,,,
60,Meltan,,808,,732,93,12,15,10,82.2,25.0,25.0,Thunder Shock,Thunderbolt,,"2026-08-06 13:46","2026-08-06 13:46",8/5/2026,,,0,0,0,15000,96.97%,125,94.51%,444000,220,Meltan,,0,96.97%,125,94.51%,444000,220,Meltan,,0,,,,,,,,,
61,Seviper,,336,♂,769,91,14,14,12,88.9,13.0,13.0,Iron Tail,Crunch,,"2026-08-06 13:46","2026-08-06 13:46",8/5/2026,22.28kg,2.13m,0,0,0,1600,44.79%,2262,94.70%,58800,56,Seviper,,0,98.80%,50,96.94%,502800,276,Seviper,,0,,,,,,,,,
62,Linoone,Normal,264,♀,647,96,6,15,1,48.9,15.0,15.0,Sand Attack,Swift,,"2026-08-06 13:45","2026-08-06 13:45",8/5/2026,28.04kg,0.47m,0,0,0,1900,78.63%,876,96.28%,236400,253,Linoone,Normal,0,59.24%,1670,88.10%,496400,268,Linoone,Normal,0,,,,,,,,,
63,Cubchoo,,613,♀,320,71,13,9,15,82.2,11.0,11.0,Charm,Icy Wind,,"2026-08-06 13:45","2026-08-06 13:45",8/5/2026,5.04kg,0.42m,0,0,0,1300,56.90%,1766,94.82%,21400,76,Beartic,,0,59.51%,1659,96.49%,103000,148,Beartic,,0,43.47%,2316,92.31%,19200,24,Cubchoo,,0,
64,Tauros,Normal,128,♂,1335,112,5,12,12,64.4,19.0,19.0,Tackle,Trailblaze,,"2026-08-06 13:44","2026-08-06 13:44",8/5/2026,,,0,0,0,15000,76.56%,961,96.18%,10000,8,Tauros,Normal,0,86.25%,564,97.80%,250000,252,Tauros,Normal,0,,,,,,,,,
65,Cottonee,,546,♀,395,79,15,14,13,93.3,20.0,20.0,Charm,Grass Knot,,"2026-08-06 13:44","2026-08-06 13:43",8/5/2026,0.6kg,0.3m,0,0,0,2500,34.60%,2679,93.81%,39000,84,Whimsicott,,0,99.68%,14,98.78%,475000,298,Whimsicott,,0,19.17%,3311,88.27%,31000,28,Cottonee,,0,
66,Quaxly,,912,♂,603,95,15,12,14,91.1,20.0,20.0,Wing Attack,Liquidation,,"2026-08-06 13:43","2026-08-06 13:43",8/5/2026,4.05kg,0.39m,0,0,0,15000,7.64%,3783,92.82%,70000,87,Quaxwell,,0,24.03%,3112,95.03%,65000,183,Quaquaval,,0,,,,,,,,,
67,Wynaut,,360,♀,296,136,14,14,12,88.9,20.0,20.0,Splash,Mirror Coat,,"2026-08-06 13:43","2026-08-06 13:43",8/5/2026,16.27kg,0.62m,0,0,0,2500,99.15%,36,97.26%,475000,273,Wobbuffet,,0,99.15%,36,97.26%,475000,273,Wobbuffet,,0,65.67%,1407,91.61%,178000,182,Wynaut,,0,
68,Axew,,610,♀,284,52,10,8,9,60.0,8.0,8.0,Scratch,Frustration,,"2026-08-06 13:42","2026-08-06 13:42",8/5/2026,14.22kg,0.58m,0,1,0,961,88.82%,459,94.46%,402600,213,Axew,,2,61.59%,1574,96.31%,88334,233,Haxorus,,1,26.64%,3005,91.13%,14887,27,Axew,,1,
69,Pichu,,172,♂,256,58,13,12,13,84.4,20.0,20.0,Thunder Shock,Disarming Voice,,"2026-08-06 13:42","2026-08-06 13:42",8/5/2026,2.44kg,0.34m,0,0,0,2500,69.65%,1244,95.32%,27500,100,Raichu,Normal,0,97.73%,94,96.56%,475000,323,Raichu,Normal,0,96.09%,161,94.75%,431000,248,Pichu,,0,
70,Exeggcute,,102,,654,99,15,11,11,82.2,20.0,20.0,Confusion,Psychic,,"2026-08-06 13:42","2026-08-06 13:41",8/5/2026,1.88kg,0.36m,0,0,0,2500,97.24%,114,95.09%,475000,248,Exeggcute,,0,29.67%,2881,95.13%,70000,112,Exeggutor,Normal,0,,,,,,,,,
71,Tyrunt,,696,,588,77,14,13,9,80.0,13.0,13.0,Dragon Tail,Frustration,,"2026-08-06 13:41","2026-08-06 13:41",8/5/2026,24.69kg,0.72m,0,1,0,1600,54.48%,1865,95.47%,98400,105,Tyrunt,,2,49.74%,2059,96.02%,105968,163,Tyrantrum,,1,,,,,,,,,
72,Cutiefly,,742,♂,250,56,11,6,8,55.6,11.0,11.0,Fairy Wind,Bug Buzz,,"2026-08-06 13:41","2026-08-06 13:41",8/5/2026,0.22kg,0.09m,0,0,0,1300,42.66%,2349,94.81%,68000,117,Ribombee,,0,56.04%,1801,88.72%,508000,334,Ribombee,,0,13.14%,3558,89.46%,41000,43,Cutiefly,,0,
73,Miltank,,241,♀,2052,169,15,11,12,84.4,32.0,32.0,Zen Headbutt,Stomp,,"2026-08-06 13:41","2026-08-06 13:41",8/5/2026,46.55kg,0.85m,0,0,0,15000,,,,,,,,,77.68%,915,96.25%,266000,162,Miltank,,0,,,,,,,,,
74,Skwovet,,819,♀,539,110,5,14,1,44.4,23.0,23.0,Bullet Seed,Crunch,,"2026-08-06 13:40","2026-08-06 13:40",8/5/2026,2.22kg,0.25m,0,0,0,400,73.19%,1099,96.01%,7000,56,Greedent,,0,65.20%,1426,95.41%,458000,282,Greedent,,0,,,,,,,,,
75,Stunfisk,Galar,618,♂,1226,151,15,13,14,93.3,20.0,20.0,Mud Shot,Rock Slide,,"2026-08-06 13:40","2026-08-06 13:40",8/5/2026,19.22kg,0.67m,0,0,0,15000,13.53%,3542,92.55%,24000,22,Stunfisk,Galar,0,99.71%,13,98.46%,475000,248,Stunfisk,Galar,0,,,,,,,,,
76,Snover,,459,♀,995,126,11,15,15,91.1,32.0,32.0,Powder Snow,Energy Ball,,"2026-08-06 13:40","2026-08-06 13:40",8/6/2026,11.82kg,0.52m,0,0,0,3500,99.07%,39,96.92%,378000,162,Snover,,0,94.70%,218,97.89%,266000,212,Abomasnow,Normal,0,,,,,,,,,
77,Roselia,,315,♀,1394,107,6,8,15,64.4,28.0,28.0,Magical Leaf,Dazzling Gleam,,"2026-08-06 13:39","2026-08-06 13:39",8/6/2026,1kg,0.23m,0,0,0,4500,87.28%,522,97.13%,19000,16,Roselia,,0,90.79%,378,98.02%,41000,136,Roserade,,0,,,,,,,,,
78,Litleo,,667,♀,233,55,15,14,14,95.6,6.0,6.0,Incinerate,Crunch,,"2026-08-06 13:39","2026-08-06 13:39",8/6/2026,13.1kg,0.59m,0,0,0,600,86.52%,553,95.83%,366400,294,Litleo,,0,69.35%,1256,96.71%,157400,202,Pyroar,,0,84.00%,656,94.54%,600,51,Pyroar,,0,
79,Slakoth,,287,♂,174,57,9,5,10,53.3,7.0,7.0,Yawn,Body Slam,,"2026-08-06 13:38","2026-08-06 13:38",8/6/2026,24.44kg,0.77m,0,0,0,800,78.75%,871,95.86%,11100,139,Slaking,,0,13.89%,3527,94.05%,42700,171,Slaking,,0,63.59%,1492,93.87%,4200,30,Vigoroth,,0,
80,Snover,,459,♀,344,75,8,15,15,84.4,11.0,11.0,Ice Shard,Ice Beam,,"2026-08-06 13:38","2026-08-06 13:38",8/6/2026,93.67kg,1.34m,0,0,0,1300,95.97%,166,98.07%,50000,102,Abomasnow,Normal,0,97.80%,91,98.65%,436000,334,Abomasnow,Normal,0,54.55%,1862,93.30%,13500,18,Snover,,0,
